target_coverage,actual_coverage,selective_acc,selective_risk,expected_cost,confirmation_rate,threshold,method
1.0,1.0,0.5333333333333333,0.4666666666666667,2.3333333333333335,0.0,inf,HAB-Prototype
0.9,0.8888888888888888,0.55,0.45,2.111111111111111,0.1111111111111111,0.4825279116630554,HAB-Prototype
0.8,0.8,0.5833333333333334,0.4166666666666667,1.8666666666666667,0.2,0.48252245783805847,HAB-Prototype
