method,acc,macro_f1,kappa,nll,ece,brier,params_m,latency_ms,best_val_acc,epochs
Full HAB,0.5333333333333333,0.34782608695652173,0.0,0.6910815367517694,0.00872084697087605,0.4979355322592161,0.043139,0.0,0.5277777777777778,11
w/o World Model,0.5333333333333333,0.34782608695652173,0.0,0.6910831317733199,0.008771749337514234,0.4979371227866085,0.043139,0.0,0.5277777777777778,11
w/o Small-World Loss,0.5333333333333333,0.34782608695652173,0.0,0.6910814983654239,0.00872084697087605,0.49793548860305187,0.043139,0.0,0.5277777777777778,11
w/o Neural-Cognitive Align,0.5333333333333333,0.34782608695652173,0.0,0.6910814622607102,0.008717032273610426,0.49793545853234217,0.043139,0.0,0.5277777777777778,11
Dense Neural Graph,0.5333333333333333,0.34782608695652173,0.0,0.6910740435813658,0.008720370133717847,0.4979280588715722,0.043139,0.0,0.5277777777777778,11
