hab_next_state_mse,last_state_copy_mse,method
0.003321972442790866,1.4958798089104164e-11,Full HAB
0.011594129726290703,1.492969116390075e-11,w/o World Model
0.0033219726756215096,1.499995960774214e-11,w/o Small-World Loss
0.0033217589370906353,1.4971327996771144e-11,w/o Neural-Cognitive Align
0.003321906318888068,1.2081847675093904e-11,Dense Neural Graph
